distance,identity,clusters
0.00013894678338199906,0.999861053216618,27
0.0006920415224913601,0.9993079584775086,26
0.0008304498269896543,0.9991695501730103,25
0.0009688581314878375,0.9990311418685122,24
0.0011072664359861317,0.9988927335640139,23
0.0012460196594212825,0.9987539803405787,22
0.0013840830449827202,0.9986159169550173,21
0.0015224913494810144,0.998477508650519,20
0.004794134235758585,0.9952058657642414,19
0.005140654005426293,0.9948593459945737,18
0.009794319294809006,0.990205680705191,17
0.010293066476054324,0.9897069335239457,16
0.010342873335222436,0.9896571266647776,15
0.010657439446366768,0.9893425605536332,14
0.01529664045746959,0.9847033595425304,13
0.022806772072198167,0.9771932279278018,12
0.027293512432123412,0.9727064875678766,11
0.03173695496783413,0.9682630450321659,10
0.03218133482580099,0.967818665174199,9
0.04262902765896781,0.9573709723410322,8
0.10541913632514821,0.8945808636748518,7
0.1496774193548387,0.8503225806451613,6
0.2448600799543118,0.7551399200456882,5
0.28279337652987757,0.7172066234701224,4
0.30044649287051706,0.6995535071294829,3
0.33018327605956466,0.6698167239404353,2
0.3688670829616414,0.6311329170383586,1
