iteration,method,accuracy,f1,precision,recall,auc
0,extreme,0.9242424242424242,0.9481865284974094,0.9014778325123153,1.0,0.9961232544019429
1,extreme,0.9200757575757575,0.9454357382984225,0.8973981345115366,0.9989071038251366,0.9962993321190042
2,extreme,0.9178030303030303,0.944028888315708,0.8939912066438691,1.0,0.9951345881400526
3,extreme,0.921969696969697,0.9467149508535955,0.8988212180746562,1.0,0.9967101801254807
4,extreme,0.928030303030303,0.9506493506493506,0.905940594059406,1.0,0.9967432368616339
5,extreme,0.9223484848484849,0.9469598965071151,0.8992628992628993,1.0,0.9965820009444781
6,extreme,0.9181818181818182,0.9442724458204335,0.8944281524926686,1.0,0.995691492950145
7,extreme,0.915530303030303,0.9425405823241433,0.8917601170160897,0.9994535519125683,0.9960412871888282
8,extreme,0.9246212121212121,0.9484322363306557,0.9019221291276491,1.0,0.9959589826620792
9,extreme,0.9231060606060606,0.947450168263008,0.9001475651746188,1.0,0.9959798961074007
10,extreme,0.9234848484848485,0.9476954945624029,0.9005905511811023,1.0,0.996417054577346
11,extreme,0.9253787878787879,0.9489240342234898,0.9028120374938332,1.0,0.9960800782567631
12,extreme,0.9200757575757575,0.9454921208989925,0.8966193042626164,1.0,0.9960699588477366
13,extreme,0.9223484848484849,0.9469598965071151,0.8992628992628993,1.0,0.9967341293935101
14,extreme,0.9287878787878788,0.9511434511434511,0.9068384539147671,1.0,0.9967611144842474
15,extreme,0.9257575757575758,0.9491701244813278,0.9032576505429417,1.0,0.9966626189030561
16,extreme,0.9204545454545454,0.9457364341085271,0.8970588235294118,1.0,0.9962281589421844
17,extreme,0.9291666666666667,0.9513906940473096,0.9072880515617253,1.0,0.9965179113539769
18,extreme,0.9212121212121213,0.9462254395036195,0.8979391560353287,1.0,0.995636848141402
19,extreme,0.9234848484848485,0.9476683937823834,0.9009852216748768,0.9994535519125683,0.9959151318896309
20,extreme,0.915530303030303,0.9425701776976565,0.8913784705309303,1.0,0.9958223706402213
21,extreme,0.9159090909090909,0.9428129829984544,0.8918128654970761,1.0,0.9962338932739662
22,extreme,0.9265151515151515,0.9496626881162429,0.9041501976284585,1.0,0.9962436753693585
23,extreme,0.9238636363636363,0.947940947940948,0.9010339734121122,1.0,0.9959576334075424
24,extreme,0.9276515151515151,0.9504024928589977,0.9054923305294409,1.0,0.9966632935303245
25,extreme,0.9299242424242424,0.951885565669701,0.9081885856079405,1.0,0.9972303177494433
26,extreme,0.9272727272727272,0.9501557632398754,0.9050445103857567,1.0,0.9964194157727857
27,extreme,0.9208333333333333,0.9459808736107521,0.8974987739087789,1.0,0.9966153949942655
28,extreme,0.9265151515151515,0.9496365524402908,0.9045499505440159,0.9994535519125683,0.9961721648789044
29,extreme,0.9238636363636363,0.947940947940948,0.9010339734121122,1.0,0.9964109829319301
