Feature,Importance
tobamo_orf1_identity_score_max,0.021722469906784357
outgroup_orf1_identity_score_max,0.021600403506474297
outgroup_orf2_identity_score_max,0.01630893946248775
stop_codons,0.016285200774261755
outgroup_orf2_identity_score_mean,0.015450896127494212
outgroup_orf2_identity_score_min,0.015112158972851066
outgroup_orf1_N/aln_len_max,0.014921017910845819
tobamo_orf1_N/aln_len_max,0.01452195269265424
tobamo_orf1_gap_openings_min,0.014489799755358775
outgroup_orf2_gap_ratio_mean,0.013379822868504745
tobamo_orf2_identity_score_max,0.013168137229829664
contig_length,0.012920200890311605
outgroup_orf1_gap_ratio_min,0.012839844077759534
outgroup_cp_identity_score_max,0.012799800326685035
tobamo_orf1_gap_ratio_min,0.012718702453588334
outgroup_orf1_gap_openings_min,0.012299904639760344
outgroup_cp_gap_ratio_min,0.0122199188548017
outgroup_orf1_identity_score_mean,0.01189229654559787
tobamo_orf1_gap_ratio_mean,0.01181936858098514
tobamo_orf2_identity_score_mean,0.011410920806692221
outgroup_orf2_gap_ratio_min,0.011323377573677245
tobamo_orf2_identity_score_min,0.011025174685425798
outgroup_orf2_gap_ratio_max,0.010967560327582311
tobamo_orf1_identity_score_mean,0.010673445597168416
outgroup_cp_N/aln_len_max,0.010313051044420318
outgroup_orf2_N/aln_len_max,0.010244967337710775
tobamo_orf2_gap_ratio_max,0.009781546587031696
tobamo_orf2_gap_ratio_min,0.009658222905245914
tobamo_cp_identity_score_max,0.009650730057049505
tobamo_cp_gap_ratio_min,0.00964446833003605
tobamo_cp_identity_score_mean,0.009327258379045751
outgroup_orf1_aln_len_mean,0.00904515336511167
tobamo_cp_gap_ratio_mean,0.008975257536880702
outgroup_orf1_aln_len_min,0.008854093638082513
tobamo_orf2_gap_ratio_mean,0.008715331195995652
tobamo_orf2_N/aln_len_max,0.008474391581824597
tobamo_cp_gap_openings_mean,0.008345671211371282
tobamo_orf1_gap_openings_mean,0.008157677559725586
tobamo_orf1_identity_score_min,0.008152057590885269
outgroup_cp_gap_ratio_mean,0.007773747159284024
