,iteration,fold,model,accuracy,auc_roc,f1_score,recall,specificity,precision,negative_predictive_value,best_params
0,0,0,SVM,0.7379956166567045,0.6325873294808106,0.8272691448837515,0.9010014306151645,0.3641732283464567,0.7646915978630403,0.6159822419533851,"{'C': 50, 'kernel': 'rbf'}"
1,0,1,RandomForest,0.7470832509392921,0.6376910386014674,0.8353289558388052,0.9507620164126612,0.32462006079027356,0.7448909299655568,0.7606837606837606,"{'max_depth': None, 'n_estimators': 300}"
2,0,2,RandomForest,0.7837573385518591,0.6382074292029403,0.8656534954407294,0.9400580934776869,0.3363567649281935,0.8021631365479945,0.6622023809523809,"{'max_depth': 40, 'n_estimators': 300}"
3,0,3,RandomForest,0.7759773141583958,0.6381234132277637,0.8594306049822064,0.9470588235294117,0.3291880029261156,0.7866449511400652,0.704225352112676,"{'max_depth': 40, 'n_estimators': 300}"
4,0,4,RandomForest,0.7654398003742982,0.6315099361249112,0.8520073471529782,0.955,0.3080198722498226,0.7690667929891047,0.7393526405451448,"{'max_depth': 40, 'n_estimators': 300}"
5,1,0,RandomForest,0.7373116574147502,0.6156243225222677,0.8312746720998344,0.945264986967854,0.28598365807668136,0.7418181818181818,0.7065217391304348,"{'max_depth': 50, 'n_estimators': 200}"
6,1,1,SVM,0.766743648960739,0.6532999141512406,0.8492537313432836,0.9549650349650349,0.351634793337446,0.7646136618141097,0.7797537619699042,"{'C': 50, 'kernel': 'rbf'}"
7,1,2,RandomForest,0.7814858959078268,0.6210914565510017,0.8663101604278075,0.9703239858426355,0.2718589272593681,0.782436882546652,0.7724425887265136,"{'max_depth': 50, 'n_estimators': 300}"
8,1,3,RandomForest,0.7763782779269048,0.6355506696669416,0.8600955948843818,0.9385396109388215,0.3325617283950617,0.7937529804482594,0.6640986132511556,"{'max_depth': None, 'n_estimators': 300}"
9,1,4,RandomForest,0.7689284236657012,0.6407836019329927,0.8532772888480231,0.9508196721311475,0.3307475317348378,0.7738861091255659,0.7362637362637363,"{'max_depth': None, 'n_estimators': 300}"
10,2,0,RandomForest,0.7426059152677857,0.613546630296493,0.8360071301247772,0.9420373027259684,0.28505595786701776,0.7514305333028153,0.6818897637795276,"{'max_depth': 40, 'n_estimators': 300}"
11,2,1,RandomForest,0.7472895722452197,0.6401059421717008,0.8353454919085538,0.9612769731007981,0.31893491124260354,0.738587326822621,0.8044776119402985,"{'max_depth': 40, 'n_estimators': 300}"
12,2,2,RandomForest,0.7939036381514257,0.6376207355135031,0.8736740597878495,0.9472033455305803,0.32803812549642575,0.810738255033557,0.6715447154471544,"{'max_depth': 50, 'n_estimators': 300}"
13,2,3,RandomForest,0.7694831829368335,0.6368449470924679,0.8544418544418544,0.9551244933410539,0.31856540084388185,0.7729615745079662,0.7450657894736842,"{'max_depth': 50, 'n_estimators': 300}"
14,2,4,RandomForest,0.7456775231202252,0.6398539071241638,0.8327383313499934,0.8956200227531286,0.3840877914951989,0.778107239930813,0.6040992448759439,"{'max_depth': None, 'n_estimators': 200}"
15,3,0,RandomForest,0.7394550958627649,0.6149969900710837,0.8328369804480125,0.9327146171693735,0.2972793629727936,0.752280701754386,0.6588235294117647,"{'max_depth': 40, 'n_estimators': 300}"
16,3,1,RandomForest,0.7316933638443935,0.6180316741969031,0.8259309662254114,0.9437376307605315,0.29232571763327475,0.7342718873735152,0.7148997134670487,"{'max_depth': None, 'n_estimators': 300}"
17,3,2,RandomForest,0.8003060443764346,0.666185566543505,0.8750897343862168,0.9493769470404985,0.38299418604651164,0.8115845539280959,0.7299168975069252,"{'max_depth': 40, 'n_estimators': 300}"
18,3,3,SVM,0.7724989535370448,0.6526687124785592,0.854270009384636,0.9108061749571184,0.39453125,0.8043423377934865,0.6181150550795593,"{'C': 50, 'kernel': 'rbf'}"
19,3,4,SVM,0.7791718946047679,0.671713489063656,0.8563656147986942,0.9456293181135476,0.3977976600137646,0.7825006214267959,0.761528326745718,"{'C': 50, 'kernel': 'rbf'}"
20,4,0,SVM,0.7524253007372914,0.6509621652798512,0.8367451381780963,0.9345527293512432,0.36737160120845924,0.7574704656011119,0.7264038231780168,"{'C': 50, 'kernel': 'rbf'}"
21,4,1,RandomForest,0.7358224016145308,0.6119003251506911,0.8305501618122977,0.939385065885798,0.2844155844155844,0.7443155452436195,0.6790697674418604,"{'max_depth': 40, 'n_estimators': 300}"
22,4,2,RandomForest,0.7848926380368099,0.6454334626508044,0.8655643421998562,0.9420970266040689,0.34876989869753977,0.800531914893617,0.6846590909090909,"{'max_depth': 50, 'n_estimators': 300}"
23,4,3,RandomForest,0.7674467195988299,0.6412599008359796,0.8517778665601279,0.922943722943723,0.35957607872823616,0.7908011869436202,0.6401617250673854,"{'max_depth': 40, 'n_estimators': 300}"
24,4,4,RandomForest,0.7919966652771988,0.6458414407925831,0.87132542547705,0.9791364821790786,0.3125463994060876,0.7849012775842044,0.8539553752535497,"{'max_depth': 50, 'n_estimators': 300}"
