,run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_total_spots,run_total_bases,run_alias,public_filename,public_url,public_size,public_date,public_md5,public_version,public_semantic_name,public_supertype,public_sratoolkit,aws_url,aws_free_egress,aws_access_type,ncbi_url,ncbi_free_egress,ncbi_access_type,gcp_url,gcp_free_egress,gcp_access_type,experiment_alias,isolate,host,collection_date,geo_loc_name,tissue,biosamplemodel,ebi_url,ebi_free_egress,ebi_access_type,arrayexpress-species,ena-first-public,ena-last-update,external id,insdc center name,insdc first public,insdc last update,insdc status,submitter id,common name,sample description,sample name,scientific_name,age,biomaterial_provider,sex,cell_line,cell_type,sample_type,treatment,replicate,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2
0,ERR2737479,ERP108694,Virus Discovery for Vietnam Initiative on Zoonotic Infections (VIZIONS),ERX2750552,Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing,1070528,viral metagenome,,WGS,GENOMIC,RANDOM,PAIRED,ERS2529024,,SAMEA4708865,PRJEB26687,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,1666735,487636267,1666735,833367500,SC_RUN_20730_1#94_,ERR2737479.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/737/ERR2737479/ERR2737479.sralite.1,209161673,2020-06-14 12:43:52,c708f3159092285fa47d194dda2902a7,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-6/ERR2737479/ERR2737479.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/737/ERR2737479/ERR2737479.sralite.1,worldwide,anonymous,gs://sra-pub-zq-101/ERR2737479/ERR2737479.zq.1,gs.us-east1,gcp identity,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/run/ERR273/ERR2737479/20730_1#94.cram,worldwide,anonymous,,2018-06-11T17:03:00Z,2018-06-05T15:33:43Z,SAMEA4708865,UNIVERSITY OF EDINBURGH,2018-06-11T17:03:00Z,2018-06-05T15:33:43Z,public,20730x94,,,20730x94,viral metagenome,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/009/ERR2737479/ERR2737479_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/009/ERR2737479/ERR2737479_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR273/009/ERR2737479/ERR2737479_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR273/009/ERR2737479/ERR2737479_2.fastq.gz
1,ERR3179625,ERP006046,Virus_Discovery_for_Vietnam_Initiative_on_Zoonotic_Infections__VIZIONS_,ERX3207476,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500 paired end sequencing,1070528,viral metagenome,DN459406Q:F12,WGS,GENOMIC,RANDOM,PAIRED,ERS3172564,,SAMEA5365958,PRJEB6505,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,1666735,487636267,1666735,833367500,SC_RUN_20730_1#94,ERR3179625.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/179/ERR3179625.sralite.1,209161673,2020-06-21 02:06:02,3e065664ad702c5e4786cbe1cba4b313,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-9/ERR3179625/ERR3179625.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/179/ERR3179625.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/ERR3179625/ERR3179625.zq.1,gs.us-east1,gcp identity,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/run/ERR317/ERR3179625/20730_1#94.cram,worldwide,anonymous,viral metagenome,2019-02-26T17:02:58Z,2019-02-21T09:18:26Z,SAMEA5365958,SC,2019-02-26T17:02:58Z,2019-02-21T09:18:26Z,public,6bcb1c40-540d-11e6-9a3d-3c4a9275d6c8,viral metagenome,Total nucleic acid extraction from human feces,6bcb1c40-540d-11e6-9a3d-3c4a9275d6c8,viral metagenome,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/005/ERR3179625/ERR3179625_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/005/ERR3179625/ERR3179625_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR317/005/ERR3179625/ERR3179625_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR317/005/ERR3179625/ERR3179625_2.fastq.gz
2,SRR5087400,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404651,"P493-6 cell line, untreated","P493-6 cell line, untreated",9606,Homo sapiens,P493-6 untreated replicate 5,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843873,,SAMN06121372,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,30162575,1861561397,30162575,3046420075,Sample_r738s44_hs_rna_sr_Kube_AR_1.fq.gz,SRR5087400.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087400.sralite.1,826245226,2020-06-24 02:33:08,5ea5bff1ad4cbeaf8fddbf1a5bf06892,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-6/SRR5087400/SRR5087400.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087400.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR5087400/SRR5087400.zq.1,gs.us-east1,gcp identity,,not applicable,,,,cell line,Human,,,,,,,,,,,,,,,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",not determined,P493-6,B-cell,cells,none,Biological replicate 5,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/000/SRR5087400/SRR5087400.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/000/SRR5087400/SRR5087400.fastq.gz,,
3,SRR5087405,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX2404656,"P493-6 cell line, dox-treated, environmental stimuli","P493-6 cell line, dox-treated, environmental stimuli",9606,Homo sapiens,P493-6 combination 3,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS1843878,,SAMN06121400,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,30692130,1899858301,30692130,3099905130,Sample_r738s10_hs_fq_sr_Kube_J_1.fq.gz,SRR5087405.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087405.sralite.1,847316444,2020-06-24 02:35:36,72da29334e4a02d25ae857191a941bd7,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR5087405/SRR5087405.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/087/SRR5087405.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/SRR5087405/SRR5087405.zq.1,gs.us-east1,gcp identity,,not applicable,,,,cell line,Human,,,,,,,,,,,,,,,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",not determined,P493-5,B-cell,cells,"1 ng/ml doxycycline for 16h; CpG (0.5muM, ODN2006, Invivogen) , IL10 (25ng/ml, Peprotech) , for 24h.",Biological replicate 1,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR508/005/SRR5087405/SRR5087405.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR508/005/SRR5087405/SRR5087405.fastq.gz,,
4,SRR6233765,SRP094756,Gene expression changes after microenvironmental stimuli of a B-cell model,SRX3342207,"P493-6 cell line, a-IgM treated","P493-6 cell line, a-IgM treated",9606,Homo sapiens,P493-6 a-IgM replicate 1,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS2643612,,SAMN07829509,PRJNA312050,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,21499747,1335298988,21499747,2171474447,Sample_r738s11_hs_fq_sr_Kube_K_1.fq,SRR6233765.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/233/SRR6233765.sralite.1,594326673,2020-06-24 00:28:00,5361bc96d2d78d23b40acefb5d148ee0,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR6233765/SRR6233765.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/233/SRR6233765.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR6233765/SRR6233765.zq.1,gs.us-east1,gcp identity,,not applicable,,,,cell line,Human,,,,,,,,,,,,,,,,,not applicable,"Prof. Dr. med Georg Bornkamm, HelmholtzZentrum Munich",not determined,P493-6,B-cell,cells,"a-IgM F(ab)2 fragments (130ng/ml, Jackson Immunity), for 24h.",Biological replicate 1,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/005/SRR6233765/SRR6233765.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR623/005/SRR6233765/SRR6233765.fastq.gz,,
5,SRR8658357,SRP187337,Panonychus citri Genome sequencing,SRX5456065,RNA-Seq of Panonychus citri: susceptible_3,RNA-Seq of Panonychus citri: susceptible_3,50023,Panonychus citri,Pc_SUS_3,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS4430917,,SAMN10995425,PRJNA524036,HiSeq X Ten,HiSeq X Ten,ILLUMINA,30198440,3003242607,30198440,9059532000,PC_SUS_3_1.fq.gz,SRR8658357.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/658/SRR8658357.sralite.1,2269888963,2020-06-23 14:46:13,b13e2f942056a1546090afaaf3ee6b3d,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-8/SRR8658357/SRR8658357.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/658/SRR8658357.sralite.1,worldwide,anonymous,gs://sra-pub-zq-108/SRR8658357/SRR8658357.zq.1,gs.us-east1,gcp identity,,Chongqing,citrus,2018-06-28,China:Chongqing,whole body,Invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8658357/SRR8658357_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8658357/SRR8658357_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR865/007/SRR8658357/SRR8658357_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR865/007/SRR8658357/SRR8658357_2.fastq.gz
6,SRR8658358,SRP187337,Panonychus citri Genome sequencing,SRX5456064,RNA-Seq of Panonychus citri: susceptible_2,RNA-Seq of Panonychus citri: susceptible_2,50023,Panonychus citri,Pc_SUS_2,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS4430916,,SAMN10995424,PRJNA524036,HiSeq X Ten,HiSeq X Ten,ILLUMINA,29171318,2912331205,29171318,8751395400,PC_SUS_2_1.fq.gz,SRR8658358.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/658/SRR8658358.sralite.1,2192716734,2020-06-20 06:38:16,f3dbef31ee9deea9f4e15780dc9d04c4,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-4/SRR8658358/SRR8658358.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/658/SRR8658358.sralite.1,worldwide,anonymous,gs://sra-pub-zq-108/SRR8658358/SRR8658358.zq.1,gs.us-east1,gcp identity,,Chongqing,citrus,2018-06-28,China:Chongqing,whole body,Invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8658358/SRR8658358_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8658358/SRR8658358_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR865/008/SRR8658358/SRR8658358_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR865/008/SRR8658358/SRR8658358_2.fastq.gz
7,SRR8658359,SRP187337,Panonychus citri Genome sequencing,SRX5456063,RNA-Seq of Panonychus citri: susceptible_1,RNA-Seq of Panonychus citri: susceptible_1,50023,Panonychus citri,Pc_SUS_1,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS4430915,,SAMN10995435,PRJNA524036,HiSeq X Ten,HiSeq X Ten,ILLUMINA,36472802,3684115274,36472802,10941840600,PC_SUS_1_1.fq.gz,SRR8658359.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/658/SRR8658359.sralite.1,2740214544,2020-06-20 06:38:22,0f7ef8976ae88db4cf681c3a66c32b56,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-4/SRR8658359/SRR8658359.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/658/SRR8658359.sralite.1,worldwide,anonymous,gs://sra-pub-zq-108/SRR8658359/SRR8658359.zq.1,gs.us-east1,gcp identity,,Chongqing,citrus,2018-06-28,China: Chongqing,whole body,Invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8658359/SRR8658359_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8658359/SRR8658359_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR865/009/SRR8658359/SRR8658359_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR865/009/SRR8658359/SRR8658359_2.fastq.gz
8,SRR8749693,SRP188804,Panonychus citri Raw sequence reads,SRX5540672,RNA-Seq of Panonychus citri: susceptible_no-induced1,RNA-Seq of Panonychus citri: susceptible_no-induced1,50023,Panonychus citri,Pc_SUS_non1,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS4506334,,SAMN11157749,PRJNA527683,HiSeq X Ten,HiSeq X Ten,ILLUMINA,36472802,3684115295,36472802,10941840600,PC_SUS_1_1.fq.gz,SRR8749693.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/749/SRR8749693.sralite.1,2740214565,2020-06-21 07:08:49,4d6fb913edb9c9714643ff9e4884e6f3,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-9/SRR8749693/SRR8749693.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/749/SRR8749693.sralite.1,worldwide,anonymous,gs://sra-pub-zq-109/SRR8749693/SRR8749693.zq.1,gs.us-east1,gcp identity,,mRNA,cirus,2018-06-28,China: Chongqing,whole body,Invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR874/003/SRR8749693/SRR8749693_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR874/003/SRR8749693/SRR8749693_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR874/003/SRR8749693/SRR8749693_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR874/003/SRR8749693/SRR8749693_2.fastq.gz
9,SRR8749694,SRP188804,Panonychus citri Raw sequence reads,SRX5540671,RNA-Seq of Panonychus citri: susceptible_no-induced2,RNA-Seq of Panonychus citri: susceptible_no-induced2,50023,Panonychus citri,Pc_SUS_non2,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS4506333,,SAMN11157750,PRJNA527683,HiSeq X Ten,HiSeq X Ten,ILLUMINA,29171318,2912331280,29171318,8751395400,PC_SUS_2_1.fq.gz,SRR8749694.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/749/SRR8749694.sralite.1,2192716809,2020-06-22 08:52:45,5476548f31e823511062f6597593f362,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-2/SRR8749694/SRR8749694.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/749/SRR8749694.sralite.1,worldwide,anonymous,gs://sra-pub-zq-109/SRR8749694/SRR8749694.zq.1,gs.us-east1,gcp identity,,mRNA,citrus,2018-06-28,China:Chongqing,whole body,Invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR874/004/SRR8749694/SRR8749694_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR874/004/SRR8749694/SRR8749694_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR874/004/SRR8749694/SRR8749694_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR874/004/SRR8749694/SRR8749694_2.fastq.gz
10,SRR8749695,SRP188804,Panonychus citri Raw sequence reads,SRX5540670,RNA-Seq of Panonychus citri: susceptible_no-induced3,RNA-Seq of Panonychus citri: susceptible_no-induced3,50023,Panonychus citri,Pc_SUS_non3,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS4506332,,SAMN11157751,PRJNA527683,HiSeq X Ten,HiSeq X Ten,ILLUMINA,30198440,3003242477,30198440,9059532000,PC_SUS_3_1.fq.gz,SRR8749695.sralite,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/749/SRR8749695.sralite.1,2269888833,2020-06-21 06:25:10,b34bd5aee58bfb7ba83e10f25098e2c4,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-7/SRR8749695/SRR8749695.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/749/SRR8749695.sralite.1,worldwide,anonymous,gs://sra-pub-zq-109/SRR8749695/SRR8749695.zq.1,gs.us-east1,gcp identity,,mRNA,citrus,2018-06-28,China:Chongqing,whole body,Invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR874/005/SRR8749695/SRR8749695_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR874/005/SRR8749695/SRR8749695_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR874/005/SRR8749695/SRR8749695_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR874/005/SRR8749695/SRR8749695_2.fastq.gz
