,run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_total_spots,run_total_bases,run_alias,public_filename,public_size,public_date,public_md5,public_version,public_semantic_name,public_supertype,public_sratoolkit,aws_url,aws_free_egress,aws_access_type,public_url,ncbi_url,ncbi_free_egress,ncbi_access_type,gcp_url,gcp_free_egress,gcp_access_type,experiment_alias,strain,isolate,host,isolation_source,collection_date,geo_loc_name,sample_type,host_tissue_sampled,biosamplemodel,lat_lon,breed,tissue,gold ecosystem classification,cultivar,age,biomaterial_provider,collected_by,biological_replicate,replicate,samp_mat_process,samp_size,ref_biomaterial,rel_to_oxygen,samp_collect_device,ecotype,identified_by,sex,dev_stage,ena-first-public,ena-last-update,external id,insdc center name,insdc first public,insdc last update,insdc status,submitter id,common name,sample name,scientific_name,phenotype,experimental factor: compound,experimental factor: dose,ebi_url,ebi_free_egress,ebi_access_type,broker name,altitude,env_broad_scale,env_local_scale,env_medium,season,type_of_nucleic_acid,arrayexpress-species,sample description,experimental factor: growth condition,experimental factor: stimulus,experimental factor: immunoprecipitate,cell type,developmental stage,genotype,growth condition,indivudal,organism part,progenitor cell type,source_name,treatment,sample_name,elev,env_feature,depth,env_material,env_biome,ena first public,ena last update,insdc center alias,collection date,environment (biome),environment (feature),environment (material),geographic location (country and/or sea),geographic location (latitude),geographic location (longitude),investigation type,project name,sequencing method,wastewater/sludge environmental package,cell_line,cell_type,nucleic_acid,sample_timepoint,host_subject_id,isolation source,isol_growth_condt,propagation,number_of_cells,target_molecules,site_name,chlorophyll,conduc,diss_inorg_carb,bacterial_count,samp_volume,min_filter_size,max_filter_size,sequencing_method,sequencing_machine,std_norm_factor,specimen_voucher,source_material_id,sample_number,sample_source,investigation_type,temp,geographic_location,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2,contigs_510
0,DRR146894,DRP004413,Phylogeny of the spider mite sub-family Tetranychinae (Acari: Tetranychidae) inferred from RNA-Seq data,DRX137686,Illumina HiSeq 2000 sequencing of SAMD00134143,Illumina HiSeq 2000 sequencing of SAMD00134143,1490235,Eotetranychus uncatus,,RNA-Seq,TRANSCRIPTOMIC,PolyA,SINGLE,DRS074483,,SAMD00134143,PRJDB7231,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,28025618,1255865062,28025618,2830587418,DRR146894,DRR146894.sralite,768455546,2020-06-22 08:50:51,63bba36ca214b9854fbc32365e4beb03,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/DRR146894/DRR146894.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/146/DRR146894/DRR146894.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/146/DRR146894/DRR146894.sralite.1,worldwide,anonymous,gs://sra-pub-zq-105/DRR146894/DRR146894.zq.1,gs.us-east1,gcp identity,DRX137686,,,,,2014,Japan:Gumma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sample_1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR146/DRR146894/DRR146894.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/DRR146/DRR146894/DRR146894.fastq.gz,,,1
1,DRR146906,DRP004413,Phylogeny of the spider mite sub-family Tetranychinae (Acari: Tetranychidae) inferred from RNA-Seq data,DRX137698,Illumina HiSeq 2000 sequencing of SAMD00134155,Illumina HiSeq 2000 sequencing of SAMD00134155,1490253,Schizotetranychus lespedezae,,RNA-Seq,TRANSCRIPTOMIC,PolyA,SINGLE,DRS074495,,SAMD00134155,PRJDB7231,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,18559733,1145221599,18559733,1874533033,DRR146906,DRR146906.sralite,510664308,2020-06-22 08:47:04,046b600c2be6e62137c7f00c3f393f8c,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-2/DRR146906/DRR146906.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/146/DRR146906/DRR146906.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/146/DRR146906/DRR146906.sralite.1,worldwide,anonymous,gs://sra-pub-zq-105/DRR146906/DRR146906.zq.1,gs.us-east1,gcp identity,DRX137698,,,,,2012,Japan:Ibaraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sample_1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR146/DRR146906/DRR146906.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/DRR146/DRR146906/DRR146906.fastq.gz,,,1
2,ERR1356733,ERP014782,Studying the presence and selection of antibiotic resistance genes,ERX1428208,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500 paired end sequencing,256318,metagenome,unspecified,RNA-Seq,METATRANSCRIPTOMIC,Inverse rRNA,PAIRED,ERS1110349,,SAMEA3923215,PRJEB13233,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,23928438,2865073755,23928438,4813558449,ena-RUN-EAWAG-12-04-2016-14:33:33:720-42,ERR1356733.lite,1258890567,2022-09-23 14:24:46,8bb958249b0a858cc965028f3b930100,2,SRA Lite,Primary ETL,1,s3://sra-pub-zq-7/ERR1356733/ERR1356733.lite.2,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR001/1356/ERR1356733/ERR1356733.lite.2,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR001/1356/ERR1356733/ERR1356733.lite.2,worldwide,anonymous,gs://sra-pub-zq-106/ERR1356733/ERR1356733.lite.2,gs.us-east1,gcp identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA3923215,EAWAG,2018-03-30T17:02:14Z,2016-10-21T09:43:06Z,public,U121,,U121,,,,,http://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR1356733/RU122R2.fq.gz,worldwide,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-30,2016-10-21,EAWAG,2014.0,wastewater,wastewater treatment plant,activated sludge,Switzerland,47.40483,8.60967,metagenome,What biological and operational factors determine the release of antibiotic resistance genes from WWTPs?,Illumina HiSeq,wastewater/sludge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR135/003/ERR1356733/ERR1356733_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR135/003/ERR1356733/ERR1356733_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR135/003/ERR1356733/ERR1356733_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR135/003/ERR1356733/ERR1356733_2.fastq.gz,1
3,ERR2660556,ERP109502,Ago-RIP-Seq Analysis to Identify miR-375 Targets in Human Macrophages,ERX2676934,NextSeq 500 sequencing; Ago-RIP-Seq Analysis to Identify miR-375 Targets in Human Macrophages,NextSeq 500 sequencing; Ago-RIP-Seq Analysis to Identify miR-375 Targets in Human Macrophages,9606,Homo sapiens,"IgG-ACM_1,2,3_s",RNA-Seq,TRANSCRIPTOMIC,RT-PCR,SINGLE,ERS2573797,,SAMEA4753698,PRJEB27424,NextSeq 500,NextSeq 500,ILLUMINA,32937711,720598936,32937711,1635686885,"E-MTAB-6943:IgG-ACM_1,2,3",ERR2660556.lite,454277033,2022-09-29 12:39:00,9fb15f9565009b06aa1bad5be2162ab1,2,SRA Lite,Primary ETL,1,s3://sra-pub-zq-3/ERR2660556/ERR2660556.lite.2,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR002/2660/ERR2660556/ERR2660556.lite.2,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR002/2660/ERR2660556/ERR2660556.lite.2,worldwide,anonymous,gs://sra-pub-zq-102/ERR2660556/ERR2660556.lite.2,gs.us-east1,gcp identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-08T17:04:04Z,2018-06-22T13:33:29Z,SAMEA4753698,"Faculty of Medicine, Goethe-University Frankfurt",2019-02-08T17:04:04Z,2018-06-22T13:33:29Z,public,"E-MTAB-6943:IgG-ACM_1,2,3",human,"E-MTAB-6943:IgG-ACM_1,2,3",Homo sapiens,wild type phenotype,,,http://ftp.sra.ebi.ac.uk/vol1/run/ERR266/ERR2660556/10_S2_R1_001.fastq.gz,worldwide,anonymous,ArrayExpress,,,,,,,,,MCF-7 conditioned media,none,anti-IgG,macrophage,adult,wild type genotype,MCF-7 conditioned media,pool of donors 1 to 3,blood,peripheral blood mononuclear cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR266/006/ERR2660556/ERR2660556.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR266/006/ERR2660556/ERR2660556.fastq.gz,,,0
4,ERR2737479,ERP108694,Virus Discovery for Vietnam Initiative on Zoonotic Infections (VIZIONS),ERX2750552,Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing,1070528,viral metagenome,,WGS,GENOMIC,RANDOM,PAIRED,ERS2529024,,SAMEA4708865,PRJEB26687,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,1666735,487636267,1666735,833367500,SC_RUN_20730_1#94_,20730_1#94.cram,370113235,2019-08-22 09:17:08,79849e490b578105f5adaf40c38936c4,1,cram,Original,0,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2737479/ERR2737479,worldwide,anonymous,http://ftp.sra.ebi.ac.uk/vol1/run/ERR273/ERR2737479/20730_1#94.cram,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/737/ERR2737479/ERR2737479.sralite.1,worldwide,anonymous,gs://sra-pub-zq-101/ERR2737479/ERR2737479.zq.1,gs.us-east1,gcp identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-11T17:03:00Z,2018-06-05T15:33:43Z,SAMEA4708865,UNIVERSITY OF EDINBURGH,2018-06-11T17:03:00Z,2018-06-05T15:33:43Z,public,20730x94,,20730x94,viral metagenome,,,,http://ftp.sra.ebi.ac.uk/vol1/run/ERR273/ERR2737479/20730_1#94.cram,worldwide,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/009/ERR2737479/ERR2737479_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/009/ERR2737479/ERR2737479_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR273/009/ERR2737479/ERR2737479_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR273/009/ERR2737479/ERR2737479_2.fastq.gz,0
5,ERR3010915,ERP112886,Impact of process temperature and organic loading rate on cellulolytic / hydrolytic biofilm microbiomes during biomethanation of ryegrass silage revealed by genome-centered metagenomics and metatranscriptomics,ERX3013249,Illumina HiSeq 1500 paired end sequencing; Impact of process temperature and organic loading rate on cellulolytic / hydrolytic biofilm microbiomes during biomethanation of ryegrass silage revealed by genome-centered metagenomics and metatranscriptomics,Illumina HiSeq 1500 paired end sequencing; Impact of process temperature and organic loading rate on cellulolytic / hydrolytic biofilm microbiomes during biomethanation of ryegrass silage revealed by genome-centered metagenomics and metatranscriptomics,410658,soil metagenome,Sample 16_p,RNA-Seq,METATRANSCRIPTOMIC,RANDOM,PAIRED,ERS2993051,,SAMEA5185551,PRJEB30432,Illumina HiSeq 1500,Illumina HiSeq 1500,ILLUMINA,17344679,1554677572,17344679,3503625158,E-MTAB-7533:YS-16_CCGTCC_R,ERR3010915.lite,903513121,2022-06-10 05:01:51,130c70f18505dfea682be63c602535c0,2,SRA Lite,Primary ETL,1,s3://sra-pub-zq-2/ERR3010915/ERR3010915.lite.2,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR003/3010/ERR3010915/ERR3010915.lite.2,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR003/3010/ERR3010915/ERR3010915.lite.2,worldwide,anonymous,gs://sra-pub-zq-108/ERR3010915/ERR3010915.lite.2,gs.us-east1,gcp identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-19T04:02:37Z,2018-12-17T14:58:17Z,SAMEA5185551,Center for Biotechnology (CeBiTec) - Bielefeld University,2019-04-19T04:02:37Z,2018-12-17T14:58:17Z,public,E-MTAB-7533:Sample 16,,E-MTAB-7533:Sample 16,soil metagenome,,ryegrass silage,1500.0,http://ftp.sra.ebi.ac.uk/vol1/run/ERR301/ERR3010915/YS-16_CCGTCC_R2.fastq.gz,worldwide,anonymous,ArrayExpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR301/005/ERR3010915/ERR3010915_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR301/005/ERR3010915/ERR3010915_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR301/005/ERR3010915/ERR3010915_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR301/005/ERR3010915/ERR3010915_2.fastq.gz,1
6,ERR3179625,ERP006046,Virus_Discovery_for_Vietnam_Initiative_on_Zoonotic_Infections__VIZIONS_,ERX3207476,Illumina HiSeq 2500 paired end sequencing,Illumina HiSeq 2500 paired end sequencing,1070528,viral metagenome,DN459406Q:F12,WGS,GENOMIC,RANDOM,PAIRED,ERS3172564,,SAMEA5365958,PRJEB6505,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,1666735,487636267,1666735,833367500,SC_RUN_20730_1#94,ERR3179625.sralite,209161673,2020-06-21 02:06:02,3e065664ad702c5e4786cbe1cba4b313,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-9/ERR3179625/ERR3179625.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/179/ERR3179625.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/179/ERR3179625.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/ERR3179625/ERR3179625.zq.1,gs.us-east1,gcp identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-26T17:02:58Z,2019-02-21T09:18:26Z,SAMEA5365958,SC,2019-02-26T17:02:58Z,2019-02-21T09:18:26Z,public,6bcb1c40-540d-11e6-9a3d-3c4a9275d6c8,viral metagenome,6bcb1c40-540d-11e6-9a3d-3c4a9275d6c8,viral metagenome,,,,http://ftp.sra.ebi.ac.uk/vol1/run/ERR317/ERR3179625/20730_1#94.cram,worldwide,anonymous,,,,,,,,viral metagenome,Total nucleic acid extraction from human feces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/005/ERR3179625/ERR3179625_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/005/ERR3179625/ERR3179625_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR317/005/ERR3179625/ERR3179625_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR317/005/ERR3179625/ERR3179625_2.fastq.gz,1
7,SRR10030315,SRP219503,Investigation of gene regulation in trichomes of Nicotiana tabacum,SRX6766521,RNA-Seq of trichomes of leaves,RNA-Seq of trichomes of leaves,4097,Nicotiana tabacum,T1,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,SRS5314446,,SAMN12630608,PRJNA561900,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,54298113,7607306202,54298113,10859622600,SampleT1_R1.fastq.gz,SRR10030315.sralite,2825409025,2020-06-23 02:58:47,65a6b7071e7df8251bfa968df063c49f,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-5/SRR10030315/SRR10030315.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/030/SRR10030315.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/030/SRR10030315.sralite.1,worldwide,anonymous,gs://sra-pub-zq-106/SRR10030315/SRR10030315.zq.1,gs.us-east1,gcp identity,,,,,,,India,,,Plant,,,Trichomes from leaves,,Petit Havana,60 days old plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/015/SRR10030315/SRR10030315_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/015/SRR10030315/SRR10030315_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR100/015/SRR10030315/SRR10030315_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR100/015/SRR10030315/SRR10030315_2.fastq.gz,1
8,SRR10064025,SRP220207,laurel family (Lauraceae) Transcriptome,SRX6797752,stem transcriptome of Litsea cubeba,stem transcriptome of Litsea cubeba,155299,Litsea cubeba,6_stem6_7,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,SRS5339565,,SAMN12638588,PRJNA562115,Illumina NovaSeq 6000,Illumina NovaSeq 6000,ILLUMINA,20399154,2293088952,20399154,6119746200,RRA81125-S_L3_1.fq.gz,SRR10064025.sralite,1528272084,2020-06-21 22:05:33,37acfa579b7fd8f46bc35eaf9142923c,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR10064025/SRR10064025.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/064/SRR10064025.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/064/SRR10064025.sralite.1,worldwide,anonymous,gs://sra-pub-zq-109/SRR10064025/SRR10064025.zq.1,gs.us-east1,gcp identity,,,"superior individual from Jiangxi, China",,,,"China: Fenyi County of Xinyu, Jiangxi",,,Plant,,,stem in June 7,,,3 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/025/SRR10064025/SRR10064025_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/025/SRR10064025/SRR10064025_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR100/025/SRR10064025/SRR10064025_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR100/025/SRR10064025/SRR10064025_2.fastq.gz,1
9,SRR10143185,SRP222475,Ovis aries breed:bashibai Raw sequence reads,SRX6871109,Model organism or animal sample from Ovis aries,Model organism or animal sample from Ovis aries,9940,Ovis aries,T04,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,SRS5407140,,SAMN12769891,PRJNA565839,HiSeq X Ten,HiSeq X Ten,ILLUMINA,45089767,4141224482,45089767,13454768334,Ovisaries_O752-01-T04_good_1.fq.gz,SRR10143185.sralite,3391989017,2020-06-21 00:16:59,7dc1ca2606deed8e4f783eb8883f6dff,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-9/SRR10143185/SRR10143185.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/143/SRR10143185.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/143/SRR10143185.sralite.1,worldwide,anonymous,gs://sra-pub-zq-109/SRR10143185/SRR10143185.zq.1,gs.us-east1,gcp identity,,,,,,,,,,Model organism or animal,,bashibai sheep,skin,,,1-year-old,,,,,,,,,,,,female,,,,,,,,,,,,,cyan gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/085/SRR10143185/SRR10143185_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/085/SRR10143185/SRR10143185_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR101/085/SRR10143185/SRR10143185_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR101/085/SRR10143185/SRR10143185_2.fastq.gz,1
