cluster,species,length
1,"6418_MW938769.1_Cactus_tobamovirus_2_isolate_NPPO-NL_39832197,_complete_genome",6418
2,"6471_MW192790.1_Cactus_mild_mottle_virus_isolate_CMMoV-Hp,_complete_genome",6471
3,"6449_EU043335.1_Cactus_mild_mottle_virus_isolate_CMMoV-Kr,_complete_genome",6449
4,"6506_JF729471.1_Rattail_cactus_necrosis_associated_virus,_complete_genome",6506
5,"6168_MT130378.1_Rattail_cactus_necrosis-associated_virus_isolate_I5-7.5-RCNaV_185_kDa_replication_protein_gene,_partial_cds;_and_movement_protein_and_coat_protein_genes,_complete_cds",6168
6,"6474_KY348773.1_Rattail_cactus_necrosis-associated_virus_isolate_parviMex-1,_complete_genome",6474
7,"6460_KU854932.1_Rattail_cactus_necrosis-associated_virus_isolate_nopal_verdura-2,_complete_genome",6460
8,"6643_HM026454.1_Frangipani_mosaic_virus_isolate_FrMV-P,_complete_genome",6643
9,"6688_KJ395757.1_Plumeria_mosaic_virus_isolate_Plu-Ind-1,_complete_genome",6688
10,"6379_NC_022801.1_Yellow_tailflower_mild_mottle_virus_isolate_Cervantes,_complete_genome",6379
11,"6350_LC643028.1_Scopolia_mild_mottle_virus_Kyo35_genomic_RNA,_complete_genome",6350
12,"6507_D13438.1_Obuda_pepper_virus_genomic_RNA_for_130K_protein,_180K_protein,_30K_protein_and_coat_protein,_complete_cds",6507
13,"6524_AB089381.1_Paprika_mild_mottle_virus_complete_genome,_strain:Japanese",6524
14,"6395_EF375551.1_Rehmannia_mosaic_virus_isolate_Henan,_complete_genome",6395
15,"6392_FR878069.1_Tobacco_mosaic_virus_strain_Ohio_V,_complete_genome,_genomic_RNA",6392
16,"6420_OQ953825.1_Tobacco_mosaic_virus,_complete_genome",6420
17,"6472_OM515245.1_Tomato_brown_rugose_fruit_virus_isolate_39986372,_complete_genome",6472
18,"6448_PP481220.1_Tomato_mosaic_virus_isolate_INIFAP_JM3,_complete_genome",6448
19,"6400_ON146334.1_Tomato_mottle_mosaic_virus_isolate_MZWD_RNA-dependent_RNA_polymerase,_126_kDa_protein,_movement_protein,_and_coat_protein_genes,_complete_cds",6400
20,"6404_OQ446806.1_Bell_pepper_mottle_virus_isolate_PV-1239,_complete_genome",6404
21,"6405_OQ920979.1_Chili_pepper_mild_mottle_virus_strain_CPMMV/Spanish/2019,_complete_genome",6405
