orf_name,ref_name,identity_score,M,N,aln_len,orf_len,ref_len,N/aln_len,gap_openings,gap_ratio,aln_orf_len,clustering_score
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds",0.9537848605577689,174,3765,3789,3768,3786,0.9936658749010293,2,0.0005278437582475588,3768,0.9532814111724125
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds",0.9532536520584329,176,3765,3789,3768,3786,0.9936658749010293,2,0.0005278437582475588,3768,0.9527504830681672
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds",0.5926849542809642,1470,3609,3885,3768,3738,0.9289575289575289,25,0.006435006435006435,3756,0.5888710227862348
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","OK647860.1_Barley_stripe_mosaic_virus_isolate_Tibet_segment_alpha,_complete_sequence",0.9588313413014609,155,3765,3768,3768,3765,0.9992038216560509,1,0.0002653927813163482,3768,0.9585768743849796
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","MW752157.1_Ligustrum_mosaic_virus_isolate_CH_segment_RNA1,_complete_sequence",0.603840877914952,1444,3645,3849,3768,3739,0.9469992205767732,26,0.006755001299038711,3765,0.5997619320002239
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","MK377386.1_Poa_semilatent_virus_isolate_Canada_segment_alpha,_complete_sequence",0.6538461538461539,1287,3718,3913,3768,3873,0.9501661129568106,26,0.006644518272425249,3758,0.6495016611295681
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","MG913809.1_Lychnis_ringspot_virus_strain_SN_segment_RNA_alpha,_complete_sequence",0.5929814865985079,1473,3619,3900,3768,3762,0.9279487179487179,25,0.00641025641025641,3768,0.5891803232228765
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","KY615795.1_Barley_stripe_mosaic_virus_isolate_R_segment_alpha,_complete_sequence",0.9808764940239044,72,3765,3781,3768,3778,0.9957683152605131,2,0.0005289605924358636,3768,0.9803576490125191
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","KY615796.1_Barley_stripe_mosaic_virus_isolate_M_segment_alpha,_complete_sequence",0.9814077025232404,70,3765,3778,3768,3775,0.9965590259396506,2,0.0005293806246691371,3768,0.9808881643006235
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","KY615797.1_Barley_stripe_mosaic_virus_isolate_De-M_segment_alpha,_complete_sequence",0.9593625498007968,153,3765,3794,3768,3791,0.9923563521349499,2,0.0005271481286241434,3768,0.9588568236279973
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","KY615804.1_Barley_stripe_mosaic_virus_isolate_M/R_segment_alpha,_complete_sequence",0.9787516600265604,80,3765,3779,3768,3776,0.9962953162212226,3,0.0007938608097380259,3768,0.9779746674411993
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","MF768253.1_Lychnis_ringspot_virus_isolate_mild_segment_RNA_alpha,_complete_sequence",0.6024793388429752,1443,3630,3896,3768,3759,0.9317248459958932,28,0.007186858316221766,3768,0.5981494051962598
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","KJ746471.1_Barley_stripe_mosaic_virus_strain_XJ_segment_alpha,_complete_sequence",0.9864541832669322,51,3765,3792,3768,3789,0.992879746835443,2,0.0005274261603375527,3768,0.9859339015247028
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","KJ433977.1_Barley_stripe_mosaic_virus_strain_Qasr_Ibrim_segment_alpha,_complete_sequence",0.9585437151209142,156,3763,3768,3768,3763,0.9986730360934183,1,0.0002653927813163482,3768,0.9582893245383449
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","JF803283.1_Barley_stripe_mosaic_virus_strain_Norwich_segment_alpha,_complete_sequence",0.9968152866242038,12,3768,3794,3768,3794,0.9931470743278862,2,0.0005271481286241434,3768,0.996289817311276
"NC_003469.1_Barley_stripe_mosaic_virus_RNA_1,_complete_sequence","AY789693.1_Barley_stripe_mosaic_virus_segment_RNA1,_complete_sequence",0.952722443559097,178,3765,3798,3768,3795,0.9913112164296999,3,0.0007898894154818325,3768,0.9519698981850376
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds",0.9968304278922345,12,3786,3786,3786,3786,1.0,0,0.0,3786,0.9968304278922345
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds",0.593784078516903,1490,3668,3844,3786,3738,0.9542143600416233,27,0.007023933402705515,3774,0.5896133786938134
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","OK647860.1_Barley_stripe_mosaic_virus_isolate_Tibet_segment_alpha,_complete_sequence",0.9468791500664011,200,3765,3786,3786,3765,0.9944532488114105,1,0.0002641310089804543,3786,0.9466290499211115
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","MW752157.1_Ligustrum_mosaic_virus_isolate_CH_segment_RNA1,_complete_sequence",0.608529250956807,1432,3658,3854,3786,3739,0.9491437467566165,21,0.005448884276076803,3783,0.6052134454897357
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","MK377386.1_Poa_semilatent_virus_isolate_Canada_segment_alpha,_complete_sequence",0.6536193029490617,1292,3730,3913,3786,3873,0.95323281369793,27,0.006900076667518528,3785,0.6491092796473431
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","MG913809.1_Lychnis_ringspot_virus_strain_SN_segment_RNA_alpha,_complete_sequence",0.5960282916213275,1485,3676,3862,3786,3762,0.9518384256861729,28,0.0072501294665976174,3786,0.5917070093413179
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","KY615795.1_Barley_stripe_mosaic_virus_isolate_R_segment_alpha,_complete_sequence",0.9499735309687666,189,3778,3786,3786,3778,0.9978869519281564,1,0.0002641310089804543,3786,0.9497226135015271
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","KY615796.1_Barley_stripe_mosaic_virus_isolate_M_segment_alpha,_complete_sequence",0.9507284768211921,186,3775,3786,3786,3775,0.997094558901215,1,0.0002641310089804543,3786,0.9504773599493428
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","KY615797.1_Barley_stripe_mosaic_virus_isolate_De-M_segment_alpha,_complete_sequence",0.9891706286318014,41,3786,3791,3786,3791,0.9986810867844896,1,0.0002637826431020839,3786,0.9889097025889019
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","KY615804.1_Barley_stripe_mosaic_virus_isolate_M/R_segment_alpha,_complete_sequence",0.9483443708609272,195,3775,3787,3786,3776,0.996831264853446,2,0.0005281225244256667,3786,0.9478435288377632
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","MF768253.1_Lychnis_ringspot_virus_isolate_mild_segment_RNA_alpha,_complete_sequence",0.6057455540355677,1441,3655,3888,3786,3759,0.9400720164609053,28,0.00720164609053498,3785,0.6013831889344885
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","KJ746471.1_Barley_stripe_mosaic_virus_strain_XJ_segment_alpha,_complete_sequence",0.9532488114104596,177,3786,3789,3786,3789,0.9992082343626286,1,0.0002639218791237794,3786,0.9529972281928796
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","KJ433977.1_Barley_stripe_mosaic_virus_strain_Qasr_Ibrim_segment_alpha,_complete_sequence",0.9569148936170213,162,3760,3789,3786,3763,0.9923462655054104,2,0.0005278437582475588,3786,0.9564097920632515
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","JF803283.1_Barley_stripe_mosaic_virus_strain_Norwich_segment_alpha,_complete_sequence",0.9543053354463814,173,3786,3794,3786,3794,0.9978914074855034,3,0.0007907221929362151,3786,0.9535507450388065
"OK558651.1_Barley_stripe_mosaic_virus_isolate_D-5_hypothetical_protein_gene,_complete_cds","AY789693.1_Barley_stripe_mosaic_virus_segment_RNA1,_complete_sequence",0.9566825145272055,164,3786,3795,3786,3795,0.9976284584980237,2,0.0005270092226613965,3786,0.9561783340188909
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds",0.5926935659760088,1494,3668,3844,3786,3738,0.9542143600416233,27,0.007023933402705515,3774,0.5885305258403812
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","OK647860.1_Barley_stripe_mosaic_virus_isolate_Tibet_segment_alpha,_complete_sequence",0.9468791500664011,200,3765,3786,3786,3765,0.9944532488114105,1,0.0002641310089804543,3786,0.9466290499211115
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","MW752157.1_Ligustrum_mosaic_virus_isolate_CH_segment_RNA1,_complete_sequence",0.611126335982461,1419,3649,3863,3786,3739,0.9446026404348952,24,0.006212787988609888,3783,0.607329537622746
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","MK377386.1_Poa_semilatent_virus_isolate_Canada_segment_alpha,_complete_sequence",0.6530831099195711,1294,3730,3913,3786,3873,0.95323281369793,27,0.006900076667518528,3785,0.6485767863908646
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","MG913809.1_Lychnis_ringspot_virus_strain_SN_segment_RNA_alpha,_complete_sequence",0.5949401523394995,1489,3676,3862,3786,3762,0.9518384256861729,28,0.0072501294665976174,3786,0.5906267592101608
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","KY615795.1_Barley_stripe_mosaic_virus_isolate_R_segment_alpha,_complete_sequence",0.9489147697194282,193,3778,3786,3786,3778,0.9978869519281564,1,0.0002641310089804543,3786,0.9486641319038658
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","KY615796.1_Barley_stripe_mosaic_virus_isolate_M_segment_alpha,_complete_sequence",0.9494039735099338,191,3775,3786,3786,3775,0.997094558901215,1,0.0002641310089804543,3786,0.9491532064804805
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","KY615797.1_Barley_stripe_mosaic_virus_isolate_De-M_segment_alpha,_complete_sequence",0.9870575805599577,49,3786,3791,3786,3791,0.9986810867844896,1,0.0002637826431020839,3786,0.9867972119024636
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","KY615804.1_Barley_stripe_mosaic_virus_isolate_M/R_segment_alpha,_complete_sequence",0.9472847682119205,199,3775,3787,3786,3776,0.996831264853446,2,0.0005281225244256667,3786,0.9467844857887825
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","MF768253.1_Lychnis_ringspot_virus_isolate_mild_segment_RNA_alpha,_complete_sequence",0.6060771968245278,1439,3653,3890,3786,3759,0.9390745501285347,28,0.0071979434447300775,3785,0.6017146874386442
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","KJ746471.1_Barley_stripe_mosaic_virus_strain_XJ_segment_alpha,_complete_sequence",0.9521922873745378,181,3786,3789,3786,3789,0.9992082343626286,1,0.0002639218791237794,3786,0.9519409829967667
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","KJ433977.1_Barley_stripe_mosaic_virus_strain_Qasr_Ibrim_segment_alpha,_complete_sequence",0.9563829787234043,164,3760,3789,3786,3763,0.9923462655054104,2,0.0005278437582475588,3786,0.9558781579375909
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","JF803283.1_Barley_stripe_mosaic_virus_strain_Norwich_segment_alpha,_complete_sequence",0.9532488114104596,177,3786,3794,3786,3794,0.9978914074855034,3,0.0007907221929362151,3786,0.9524950564198873
"OK558652.1_Barley_stripe_mosaic_virus_isolate_ND18_hypothetical_protein_gene,_complete_cds","AY789693.1_Barley_stripe_mosaic_virus_segment_RNA1,_complete_sequence",0.9561542525092446,166,3786,3795,3786,3795,0.9976284584980237,2,0.0005270092226613965,3786,0.9556503503998853
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","OK647860.1_Barley_stripe_mosaic_virus_isolate_Tibet_segment_alpha,_complete_sequence",0.5977839335180055,1452,3610,3881,3738,3765,0.9301726359185777,28,0.007214635403246586,3738,0.5934711403877545
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","MW752157.1_Ligustrum_mosaic_virus_isolate_CH_segment_RNA1,_complete_sequence",0.6808452993768626,1178,3691,3777,3738,3739,0.9772306063012973,16,0.004236166269526079,3738,0.677961125484877
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","MK377386.1_Poa_semilatent_virus_isolate_Canada_segment_alpha,_complete_sequence",0.5969738651994498,1465,3635,3964,3738,3873,0.9170030272452069,28,0.007063572149344097,3738,0.5927570972313407
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","MG913809.1_Lychnis_ringspot_virus_strain_SN_segment_RNA_alpha,_complete_sequence",0.99812734082397,7,3738,3739,3738,3762,0.9997325488098422,1,0.0002674511901577962,3738,0.9978603904787376
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","KY615795.1_Barley_stripe_mosaic_virus_isolate_R_segment_alpha,_complete_sequence",0.5943422136775611,1477,3641,3863,3738,3778,0.9425317111053585,27,0.006989386487186125,3738,0.5901881262405189
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","KY615796.1_Barley_stripe_mosaic_virus_isolate_M_segment_alpha,_complete_sequence",0.5940076965365586,1477,3638,3863,3738,3775,0.9417551126067822,26,0.006730520320994046,3738,0.5900097156641924
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","KY615797.1_Barley_stripe_mosaic_virus_isolate_De-M_segment_alpha,_complete_sequence",0.6020942408376964,1444,3629,3888,3738,3791,0.9333847736625515,31,0.007973251028806584,3738,0.5972935923124987
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","KY615804.1_Barley_stripe_mosaic_virus_isolate_M/R_segment_alpha,_complete_sequence",0.5918086860912589,1485,3638,3864,3738,3776,0.9415113871635611,25,0.006469979296066253,3738,0.5879796961450163
"OK558721.1_Lychnis_ringspot_virus_isolate_VRS-m_replicase_gene,_complete_cds","MF768253.1_Lychnis_ringspot_virus_isolate_mild_segment_RNA_alpha,_complete_sequence",0.8218298555377207,666,3738,3746,3738,3759,0.99786438868126,3,0.000800854244527496,3738,0.8211716896096339
