orf_name,ref_name,identity_score,M,N,aln_len,orf_len,ref_len,N/aln_len,gap_openings,gap_ratio,aln_orf_len,clustering_score
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds",NC_002358.1_Oat_golden_stripe_virus_RNA1_complete_genome,0.6985452974218638,2093,6943,7394,7226,7111,0.9390045983229646,42,0.005680281309169597,7226,0.69457736362531
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","NC_004014.1_Sorghum_chlorotic_spot_virus_RNA_1,_complete_sequence",0.6302958228036272,2487,6727,7364,7226,6878,0.9134980988593155,52,0.007061379684953829,7213,0.6258450646849704
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds",NC_002351.1_Soil-borne_cereal_mosaic_virus_RNA1_complete_genome,0.6639687816158404,2325,6919,7332,7226,7025,0.9436715766503001,39,0.005319148936170213,7226,0.6604370327774582
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","NC_002359.1_Chinese_wheat_mosaic_virus_RNA1,_complete_sequence",0.6652236652236652,2320,6930,7443,7226,7147,0.9310761789600968,40,0.005374177079134758,7226,0.6616486354495221
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","NC_002041.1_Soil-borne_wheat_mosaic_virus_RNA1,_complete_sequence",0.6678141135972462,2316,6972,7353,7226,7099,0.9481844145246838,41,0.005575955392356861,7226,0.6640904118894416
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","OR886214.1_Soil-borne_wheat_mosaic_virus_isolate_19PN2_SBWMV_segment_RNA1,_complete_sequence",0.6638031450203844,2309,6868,7248,7226,6995,0.9475717439293598,39,0.005380794701986755,7121,0.6602313565744966
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","OR886215.1_Soil-borne_wheat_mosaic_virus_isolate_21RL5_SBWMV_segment_RNA1,_complete_sequence",0.6647605432451751,2345,6995,7324,7226,7096,0.9550791916985254,38,0.005188421627525942,7223,0.6613114852654759
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","OQ427639.1_Soil-borne_cereal_mosaic_virus_isolate_CAD22_segment_RNA1,_complete_sequence",0.6613464886825304,2334,6892,7351,7226,7052,0.937559515712148,36,0.004897292885321725,7191,0.658107681228773
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","OM867858.1_Soil-borne_cereal_mosaic_virus_isolate_DSMZ_PV-0552_segment_RNA_1,_partial_sequence",0.663299177370472,2333,6929,7300,7226,7014,0.9491780821917808,35,0.004794520547945206,7215,0.6601189758351341
"NC_038850.1_Japanese_soil-borne_wheat_mosaic_virus_genomic_RNA_1_for_152-kDa_protein,_59-kDa_readthrough_protein,_37-kDa_movement_protein,_complete_and_partial_cds","LC642564.1_Japanese_soil-borne_wheat_mosaic_virus_TI_RNA,_segment_1,_complete_sequence",0.9888842573294429,80,7197,7198,7226,7197,0.9998610725201444,1,0.0001389274798555154,7198,0.9887468741317033
