species,length,orig_ref
"7044_MW854287.2_Tobacco_rattle_virus_isolate_DSMZ_PV-1227_segment_RNA_1,_partial_sequence",7044,0
"7073_NC_002036.1_Pea_early_browning_virus_RNA_1,_complete_sequence",7073,1
"6828_NC_003669.1_Pepper_ringspot_virus_RNA_1,_complete_sequence",6828,1
