orf_name,ref_name,identity_score,M,N,aln_len,orf_len,ref_len,N/aln_len,gap_openings,gap_ratio,aln_orf_len,clustering_score
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MK731956.1_Beet_soil-borne_virus_isolate_BSBV-JKI_1825732_segment_RNA1,_complete_sequence",0.602398172820708,2089,5254,6090,5600,5810,0.8627257799671593,43,0.007060755336617406,5598,0.5981447867071955
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MH106714.1_Beet_soil-borne_virus_isolate_Brazilian_segment_RNA1,_complete_sequence",0.6,2114,5285,6062,5600,5819,0.871824480369515,43,0.007093368525239195,5600,0.5957439788848564
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","NC_003520.1_Beet_soil-borne_virus_RNA_1,_complete_sequence",0.6043412033511044,2078,5252,6141,5600,5834,0.8552353036964664,46,0.00749063670411985,5600,0.5998143029514706
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","FJ971717.1_Beet_soil-borne_virus_isolate_PL_segment_RNA_1,_complete_sequence",0.6033530196227853,2082,5249,6098,5600,5834,0.8607740242702525,47,0.007707445063955395,5600,0.5987027093698711
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","EF545138.1_Beet_soil-borne_virus_isolate_IM_segment_RNA_1,_complete_sequence",0.6027475672581568,2082,5241,6106,5600,5834,0.8583360628889617,48,0.007861120209629872,5600,0.5980092961758784
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","EF545139.1_Beet_soil-borne_virus_isolate_XJ_segment_RNA_1,_complete_sequence",0.601435587457499,2110,5294,6053,5600,5834,0.8746076325788865,49,0.008095159425078473,5600,0.5965668704931149
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MW582800.1_Beet_soil-borne_virus_isolate_DSMZ_PV-0576_segment_RNA_1,_complete_sequence",0.6056686322997907,2073,5257,6137,5600,5835,0.8566074629297702,45,0.007332572918364022,5600,0.6012275228890868
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MN087411.1_Beet_soil-borne_virus_isolate_TR1_segment_RNA_1,_complete_sequence",0.6032350142721218,2085,5255,6139,5600,5835,0.856002606287669,44,0.007167291089754032,5600,0.5989114533293016
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MN087414.1_Beet_soil-borne_virus_isolate_TR3_segment_RNA_1,_complete_sequence",0.6028544243577545,2087,5255,6139,5600,5835,0.856002606287669,44,0.007167291089754032,5600,0.5985335912136364
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","FN386612.1_Beet_soil-borne_virus_segment_RNA-1,_complete_sequence,_clone_pUBS-1-wt,_genomic_RNA",0.603464686845612,2083,5253,6141,5600,5835,0.8553981436248168,43,0.007002116919068556,5600,0.5992391565517899
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","OP380962.1_Beet_soil-borne_virus_isolate_BSBV-US-RNA1_segment_RNA1,_complete_sequence",0.598153730218538,2133,5308,6040,5600,5837,0.8788079470198675,46,0.0076158940397350995,5600,0.5935982547897214
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MN125066.1_Potato_mop-top_virus_isolate_PMTV_quitoense_M6_segment_RNA_1,_complete_sequence",0.6052878304894056,2105,5333,6050,5600,5875,0.8814876033057851,53,0.008760330578512396,5600,0.5999853089991678
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","KT225277.1_Soil-borne_virus_2_isolate_IS16_segment_RNA1_putative_replicase_(ORF2)_and_polymerase_(ORF1)_genes,_complete_cds",0.6017283486755589,2120,5323,5952,5600,5961,0.8943212365591398,49,0.00823252688172043,5600,0.5967746038695941
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","OK523979.1_Potato_mop-top_virus_isolate_AS99_segment_RNA1,_complete_sequence",0.6117229792794474,2080,5357,6104,5600,5965,0.8776212319790302,54,0.008846657929226736,5600,0.6063112753343146
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","OK523982.1_Potato_mop-top_virus_isolate_AS144_segment_RNA1,_complete_sequence",0.6109762927011386,2084,5357,6104,5600,5965,0.8776212319790302,54,0.008846657929226736,5600,0.6055711944367446
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","OK504616.1_Potato_mop-top_virus_isolate_AS22_segment_RNA_1,_partial_sequence",0.6115363076348703,2081,5357,6104,5600,5967,0.8776212319790302,54,0.008846657929226736,5600,0.6061262551099222
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MN417993.1_Potato_mop-top_virus_isolate_PMTV_physalis_M7_segment_RNA1,_complete_sequence",0.6086631814787155,2096,5356,6027,5600,5978,0.8886676621868259,54,0.008959681433549029,5600,0.6032097532723357
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","OR477289.1_Beet_virus_Q_isolate_DSMZ_PV-0961_Replicase_read-through_protein_and_replicase_genes,_complete_cds",0.6049428945890283,2110,5341,6181,5600,5991,0.8640996602491506,47,0.007603947581297525,5600,0.6003429405288949
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","OQ731908.1_Beet_virus_Q_isolate_DSMZ_PV-1078_segment_RNA1_Replicase_readthrough_protein_(Replicase-RT)_and_replicase_(Replicase)_genes,_complete_cds",0.6051301254446733,2109,5341,6181,5600,5996,0.8640996602491506,47,0.007603947581297525,5600,0.6005287476909279
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","NC_003510.1_Beet_virus_Q_RNA_1,_complete_sequence",0.6058106841611997,2103,5335,6188,5600,6003,0.862152553329024,49,0.007918552036199095,5600,0.6010135407345838
"NC_004423.1_Broad_bean_necrosis_virus_RNA_1,_complete_sequence","MN125060.1_Potato_mop-top_virus_isolate_PMTV_quitoense_M1_segment_RNA_1,_complete_sequence",0.6085901027077498,2096,5355,6028,5600,6005,0.8883543463835435,57,0.009455872594558726,5600,0.6028353522342359
